Plant,Side,tissue,enriched,received15N,N_level,Failed_split,Actual_fungi_at_harvest,Actual_fungus_by_compartment,mycofungus,APE13C,APE15N,pctC,pctN,CNratio
6007,b,hyphae,1,N,Low,N,SUIPU/NM,SUIPU,SUIPU,0.007322932489023826,9.634663032961899e-4,11,0.4,25.5
6050,b,uncolonized_roots,1,Y,High,N,SUIPU/SUIPU,SUIPU,SUIPU,0.009884601881156252,-9.926433855231842e-4,33.4,1.4,23.1
6021,a,uncolonized_roots,1,Y,Low,N,THETE/THETE,THETE,THETE,0.0025180702741527394,-3.35732311970649e-4,45.6,0.6,77.7
6045,a,mycorrhizas,1,N,Low,N,THETE/THETE,THETE,THETE,0.0031887998967550235,5.1111267600434385e-5,44.1,0.9,51.1
6056,a,uncolonized_roots,1,N,Low,N,MIXED/SUIPU,MIXED,NM,0.005431829611391992,-2.0435113675570937e-4,48.1,0.7,67.4
6054,a,uncolonized_roots,1,N,Low,N,THETE/NM,THETE,THETE,0.0035846360617450834,-9.85165531504073e-5,44.9,0.7,66.8
6011,b,uncolonized_roots,1,Y,Low,N,THETE/SUIPU,SUIPU,SUIPU,0.011808515247866636,-7.225788955825818e-4,46.9,0.6,84
6096,a,uncolonized_roots,1,Y,Low,N,THETE/NM,NM,NM,0.003969473740514928,8.395633882973819e-5,34,0.7,46
6059,b,uncolonized_roots,1,N,High,Y,THETE,THETE,THETE,0.012248256365999355,-5.911967001233642e-4,52.4,1.9,26.9
6030,a,uncolonized_roots,1,N,Low,N,THETE/THETE,THETE,THETE,0.009554780646113148,-8.50311917809099e-4,46.9,0.4,109.3
6013,a,uncolonized_roots,1,N,Low,N,SUIPU/NM,SUIPU,SUIPU,0.00953279248556993,-1.5690801974821422e-4,43.1,0.7,62.4
6052,a,mycorrhizas,1,Y,High,N,MIXED/THETE,THETE,THETE,0.008950102669053717,9.233230331580633e-4,32.1,1.4,23.5
6063,b,mycorrhizas,1,N,High,N,SUIPU/NM,NM,NM,0.06622974173825558,5.401356445906558e-4,30,1.6,18.9
6051,a,uncolonized_roots,1,Y,High,N,THETE/NM,NM,NM,0.007575807043903815,-4.853612946576491e-4,43.8,1.2,36.3
6048,b,mycorrhizas,1,Y,High,N,THETE/NM,THETE,THETE,0.031658930390853435,0.0048754552613339275,40.4,2.7,15.1
6050,a,uncolonized_roots,1,N,High,N,SUIPU/SUIPU,SUIPU,SUIPU,0.00862027520181008,-0.001456135855088636,44.3,1.4,30.9
6021,a,mycorrhizas,1,Y,Low,N,THETE/THETE,THETE,THETE,0.005014018060299774,-6.932084551769524e-5,38.7,0.9,45
6099,a,uncolonized_roots,1,N,High,N,THETE/THETE,THETE,THETE,0.035461035166824084,-8.795080831615065e-4,38.9,1.5,26
6079,a,mycorrhizas,1,N,Low,N,SUIPU/NM,SUIPU,SUIPU,0.0014624773643032718,8.722315516507817e-4,41.3,1.1,39.2
6088,a,mycorrhizas,1,Y,Low,N,THETE/THETE,THETE,THETE,0.004519236658719228,1.5329586253060024e-4,42.7,0.9,46.3
6075,b,uncolonized_roots,1,N,Low,N,THETE/THETE,THETE,THETE,0.008345417298825542,0.001003609541085304,52.2,0.8,63.4
6041,b,uncolonized_roots,1,Y,High,N,THETE/SUIPU,THETE,THETE,0.014007181738600716,0.0029632900859812294,36.9,1.2,31.1
6024,a,mycorrhizas,1,N,High,N,THETE/THETE,THETE,THETE,0.03225234172026625,0.0012152733508291602,47.7,2.4,19.7
6076,a,uncolonized_roots,1,Y,Low,N,THETE/NM,NM,NM,0.0047721255490542624,-4.123714908600973e-4,45.1,0.8,58.5
