Plant,Side,mycofungus,hyphae.APE13C,mycorrhizas.APE13C,uncolonized_roots.APE13C,hyphae.pctC,mycorrhizas.pctC,uncolonized_roots.pctC,hyphae.APE15N,mycorrhizas.APE15N,uncolonized_roots.APE15N,hyphae.pctN,mycorrhizas.pctN,uncolonized_roots.pctN,enriched,received15N,N_level,Failed_split,Fungi,compartment_fungus,dead_tissue,mycorrhizas,other,roots,percent_col,Batch,Fungus_attempted,attempted,Plantside,versus,mycoC13ppmexcess,nmC13ppmexcess,mycoN15ppmexcess,nmN15ppmexcess,mycologC13,nmlogC13,mycologN15,nmlogN15,competition_treatment
6029,a,Tt,NA,0.0042553512206249255,0.008532320839050866,NA,54.5,44.8,NA,-0.0017152555717276918,-7.517749860734835e-4,NA,1.5,1,1,N,Low,N,Tt/Tt,THETE,NA,9e-5,NA,0.04313,0.20823692734844979,FC08,Tt,Tt/Tt,6029 A,0,42.55351220624925,85.32320839050867,-17.15255571727692,-7.517749860734835,3.7507623946504793,4.4464464970980595,0.7737441582246918,2.4683260968546787,0
6029,b,Tt,NA,0.008884137351575339,0.010401317393731846,NA,46.9,46.4,NA,1.8249142258303097e-4,-4.707633253426269e-4,NA,1.5,0.8,1,Y,Low,N,Tt/Tt,THETE,NA,0.00153,NA,0.03923,3.7536800785083417,FC08,Tt,Tt/Tt,6029 B,0,88.84137351575339,104.01317393731846,1.8249142258303097,-4.707633253426269,4.486852459462245,4.6445175635933085,3.051419449087941,2.6818971987451077,0
6030,a,Tt,NA,0.017304998203153454,0.009554780646113148,NA,38.5,46.9,NA,-3.5033024171648997e-4,-8.50311917809099e-4,NA,1,0.4,1,N,Low,N,Tt/Tt,THETE,NA,0.0072,NA,0.07332,8.941877794336811,FC11,Tt,Tt/Tt,6030 A,0,173.04998203153454,95.54780646113147,-3.5033024171648997,-8.50311917809099,5.153580466247395,4.559626713448737,2.7610929747296273,2.381147116415029,0
6030,b,Tt,NA,NA,0.013094747010451213,NA,NA,44.8,NA,NA,-0.001175120221067083,NA,NA,0.6,1,Y,Low,N,Tt/Tt,THETE,NA,0.00637,NA,0.040330000000000005,13.640256959314772,FC11,Tt,Tt/Tt,6030 B,0,NA,130.94747010451212,NA,-11.75120221067083,NA,4.874796251213924,NA,2.0240902120232,0
6031,a,Tt,NA,0.006597285283492793,0.005948591647396917,NA,33.5,45,NA,-6.49588744216334e-4,-7.992186696161863e-4,NA,0.7,0.6,1,Y,Low,N,Tt/None,THETE,NA,0.00805,NA,0.017980000000000003,30.925854782942753,FC04,Tt,Tt/None,6031 A,0,65.97285283492793,59.48591647396917,-6.4958874421633395,-7.992186696161863,4.18924333672796,4.085739586617726,2.551360226112248,2.4272984529556103,0
6031,b,None,NA,NA,0.009455833846683026,NA,NA,42.9,NA,NA,-1.2771227789387662e-4,NA,NA,0.8,1,N,Low,N,Tt/None,NM,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,94.55833846683026,NA,-1.2771227789387662,NA,4.549216982298149,NA,2.8927744721870288,0
6032,a,Tt,0.0012645511855917668,0.003936487771094566,0.007531828953323494,39.4,45.5,NA,-0.002266345647666146,-4.92660280919266e-4,-0.0012663588894937794,1.7,0.8,0.5,1,N,Low,N,Tt/Tt,THETE,NA,0.02623,NA,0.03577,42.306451612903224,FC04,Tt,Tt/Tt,6032 A,0,39.364877710945656,75.31828953323495,-4.9266028091926595,-12.663588894937794,3.6728739900888807,4.3217229942007,2.666799005178709,1.895644107343931,0
6032,b,Tt,0.004508241460242202,0.005574764331746751,0.007850669224038764,15.1,43.9,50.4,-6.860838065314567e-4,-7.444759618465691e-4,-8.57610957542998e-4,0.7,1,0.6,1,Y,Low,N,Tt/Tt,THETE,NA,0.02386,NA,0.04517,34.564682022309135,FC04,Tt,Tt/Tt,6032 B,0,55.74764331746751,78.50669224038765,-7.444759618465691,-8.57610957542998,4.0208351371143065,4.363183872624569,2.474491265550675,2.374376689965148,0
6033,a,Sp,0.004310327469668529,0.010269390542044343,NA,19.1,30.7,NA,1.9343975319130458e-4,8.320882079917435e-4,NA,1,1.4,NA,1,N,Low,N,Sp/Sp,SUIPU,0.00296,0.0094,NA,0.02336,28.693528693528698,FC01,Sp,Sp/Sp,6033 A,0,102.69390542044343,NA,8.320882079917435,NA,4.631752771653105,NA,3.3193112378362724,NA,0
6033,b,Sp,0.018448189912061874,0.02005301060536402,0.006311421339885381,23.1,32.2,41.9,0.0047805785672452306,0.0015035726104622449,-9.34250939317427e-4,1.1,1.8,0.9,1,Y,Low,N,Sp/Sp,SUIPU,NA,0.00314,NA,0.05809,5.128205128205128,FC01,Sp,Sp/Sp,6033 B,0,200.5301060536402,63.11421339885381,15.035726104622448,-9.34250939317427,5.300964390355507,4.144945996144571,3.5367810343692243,2.3003740746897035,0
6034,a,Tt,NA,0.01450186822817523,0.02051466170688876,NA,35.7,41.8,NA,4.963426125029202e-4,-3.7952611404140635e-4,NA,3.6,1.9,1,Y,High,N,MIXED/THETE,THETE,NA,0.02442,NA,0.040190000000000003,37.79600681009132,FC05,Tt,Tt/Sp,6034 A,0,145.0186822817523,205.1466170688876,4.963426125029202,-3.7952611404140635,4.976862577443416,5.3237249287151265,3.189811510466191,2.7424620944135145,0
6034,b,Sp,NA,0.0015174567178264375,NA,NA,21.5,NA,NA,0.0017663249127961578,NA,NA,0.8,NA,1,N,High,N,MIXED/THETE,MIXED,NA,0.01653,NA,NA,100,FC05,Sp,Tt/Sp,6034 B,Tt,15.174567178264375,NA,17.663249127961578,NA,2.7196208145133896,NA,3.6104765385799795,NA,0
6034,b,Tt,NA,0.005915606997909162,NA,NA,27.6,NA,NA,0.002521730062153449,NA,NA,1.5,NA,1,N,High,N,MIXED/THETE,MIXED,0.02213,0.00737,NA,0.053720000000000004,12.064167621541985,FC05,Sp,Tt/Sp,6034 B,Tt,59.15606997909162,NA,25.217300621534488,NA,4.080179205262299,NA,3.7963365661518425,NA,0
6035,a,Tt,NA,0.0064653482840644205,0.006344405725396074,NA,46.7,43.6,NA,-6.202192128318407e-5,-9.486708876055294e-5,NA,1.4,0.8,1,N,Low,N,Tt/Tt,THETE,NA,8.5e-4,NA,0.01781,4.555198285101822,FC13,Tt,Tt/Tt,6035 A,0,64.6534828406442,63.444057253960736,-0.6202192128318407,-0.9486708876055294,4.1690419760118855,4.15015852947393,2.9285344554748027,2.910814308259026,0
6035,b,Tt,0.00681717950039773,0.005574764331746751,0.00857629803998261,41.6,47.1,48.2,0.008163185990416322,-9.121762463820682e-5,-3.028869856829264e-4,2.2,1.3,0.9,1,Y,Low,N,Tt/Tt,THETE,NA,0.00437,NA,0.02195,16.60334346504559,FC13,Tt,Tt/Tt,6035 B,0,55.74764331746751,85.7629803998261,-0.9121762463820682,-3.028869856829264,4.0208351371143065,4.451587449515107,2.912798791840597,2.790646800404611,0
