Plant,Side,hyphae.APE13C,mycorrhizas.APE13C,uncolonized_roots.APE13C,mycofungus,hyphae.APE15N,mycorrhizas.APE15N,uncolonized_roots.APE15N,tissue,enriched,received15N,N_level,Failed_split,Actual_fungi_at_harvest,Actual_fungus_by_compartment,pctC,pctN,CNratio
6064,a,NA,0.011643611320497849,0.006795190122702577,SUIPU,NA,-3.28433348701862e-4,-0.001175120221067083,mycorrhizas,1,Y,High,N,THETE/SUIPU,SUIPU,36.8,1.8,20.7
6064,b,NA,0.06056297188351012,0.01299580729329941,THETE,NA,0.0017517275990251435,-6.240422165038062e-4,uncolonized_roots,1,N,High,N,THETE/SUIPU,THETE,45.2,1.4,32.1
6065,a,0.005959586525670968,0.021646787830698067,0.0272850494191359,THETE,0.0013028581124819305,1.0967262244421239e-5,-0.0010619845042910137,hyphae,1,N,High,N,THETE/THETE,THETE,42.5,1.9,22.6
6065,b,NA,0.01165460493276238,0.027109206918453532,THETE,NA,1.313991812624815e-4,-0.0010254891665923416,mycorrhizas,1,Y,High,N,THETE/THETE,THETE,35,1.8,18.9
6066,a,0.03315343419488004,0.03793334527160663,0.018360253026545426,THETE,1.27749733448701e-4,-2.3719639807545656e-4,-0.0011459238824627627,uncolonized_roots,1,N,High,N,THETE/THETE,THETE,42.8,1.6,27.2
6066,b,0.0250540013276197,0.046008696835931895,0.018711999630377507,THETE,0.001996232040467727,0.002003530662064268,-6.167432109921434e-4,uncolonized_roots,1,Y,High,N,THETE/THETE,THETE,41.6,1.3,33
6067,a,NA,0.0028259472958422904,NA,THETE,NA,-3.2113438650249737e-4,NA,mycorrhizas,1,N,Low,N,MIXED/THETE,THETE,43.8,1,44.3
6067,b,NA,NA,0.0026170309544140125,NM,NA,NA,-0.00134664905593751,uncolonized_roots,1,Y,Low,N,MIXED/THETE,MIXED,47.8,0.8,62.9
6067,b,NA,0.00696011021710885,NA,SUIPU,NA,-1.605574886830441e-4,NA,mycorrhizas,1,Y,Low,N,MIXED/THETE,MIXED,31.8,0.8,37.8
6067,b,NA,0.004431275002460433,NA,THETE,NA,3.6683487040778395e-6,NA,mycorrhizas,1,Y,Low,N,MIXED/THETE,MIXED,46.2,0.9,49.4
6068,a,NA,NA,0.0034087092684145226,NM,NA,NA,-0.0012006670313824408,uncolonized_roots,1,N,High,N,THETE/NM,NM,41.5,1.7,24.8
6068,b,0.001990276635336574,0.008125529876608306,0.0021222255730573014,THETE,0.0014086894940240624,0.004211314607858063,-0.0010510359001740799,hyphae,1,Y,High,N,THETE/NM,THETE,17.3,2.1,8.1
