Plant,Side,mycofungus,dead_tissue,mycorrhizas,other,roots,percent_col,N_level,Batch,Fungus_attempted,compartment_fungus,competitors,attempted,enriched,Plantside
6082,B,NA,0.001,0.0113,NA,0.0258,30.45822102425876,High,FC02,None,Failed,FAILED,None/None,1,6082 B
6084,A,Sp,0.0184,0.0179,NA,0.027290000000000002,39.61053330382828,Low,FC04,Sp,Sp,Sp/Sp,Sp/Sp,1,6084 A
6084,B,Sp,0.00753,0.0041,NA,0.02579,13.716962194713952,Low,FC04,Sp,Sp,Sp/Sp,Sp/Sp,1,6084 B
6085,A,Tt,NA,0.0342,NA,0.0353,49.20863309352518,Low,FC06,Tt,Tt,Tt/Sp,Tt/Sp,1,6085 A
6085,B,Sp,0.0033,0.0015,NA,0.02194,6.399317406143344,Low,FC06,Sp,Sp,Tt/Sp,Tt/Sp,1,6085 B
6087,A,Tt,0.0099,0.0216,NA,0.0771,21.88449848024316,High,FC09,Tt,Tt,Tt/Tt,Tt/Tt,1,6087 A
6087,B,Tt,0.0075,0.0235,NA,0.0538,30.40103492884864,High,FC09,Tt,Tt,Tt/Tt,Tt/Tt,1,6087 B
6088,A,Tt,NA,0.01057,NA,0.01399,43.037459283387626,Low,FC01,None,Tt,Tt/Tt,None/None,1,6088 A
6088,B,Tt,NA,0.00704,NA,0.02207,24.184129165235316,Low,FC01,None,Tt,Tt/Tt,None/None,1,6088 B
6090,A,Tt,NA,0.03334,NA,0.04592,42.064092858945244,High,FC12,Tt,Tt,Tt/None,Tt/None,1,6090 A
6090,B,NA,NA,0,NA,0.04947,0,High,FC12,None,None,Tt/None,Tt/None,1,6090 B
6091,A,Tt,NA,0.07396,NA,0.04258,63.46318860477089,High,B03,Sp,Tt,Tt/None,Sp/None,0,6091 A
6091,B,NA,NA,0,NA,0.03595,0,High,B03,None,None,Tt/None,Sp/None,0,6091 B
6092,A,Sp,0.00245,9.9e-4,NA,0.0254,NA,Low,FC08,Sp,Sp,Sp/Sp,Sp/Sp,1,6092 A
6092,B,Sp,NA,0.0028,NA,0.07474,3.6110394635027085,Low,FC08,Sp,Sp,Sp/Sp,Sp/Sp,1,6092 B
6093,A,Tt,NA,0.06445,NA,0.1644,28.162551889884202,High,FC15,Tt,Tt,Tt/Tt,Tt/None,1,6093 A
