Plant,Side,hyphae.APE13C,mycorrhizas.APE13C,uncolonized_roots.APE13C,mycofungus,hyphae.APE15N,mycorrhizas.APE15N,uncolonized_roots.APE15N,received15N,N_level,Failed_split,Fungi,compartment_fungus,pctC,pctN,CNratio,CforN,competition_treatment,mycoC13forN15,dead_tissue,mycorrhizas,other,roots,percent_col,competitors,enriched
6051,a,NA,NA,0.007575807043903815,None,NA,NA,-4.853612946576491e-4,Y,High,N,Tt/None,None,43.8,1.2,36.3,-15.608593283581525,0,NA,NA,0,NA,0.05215,0,THETE/NM,1
6051,b,NA,0.02173471887207934,0.005860632533211341,Tt,NA,0.00168603963412145,-1.642069578853267e-4,N,High,N,Tt/None,Tt,44.7,1.6,27.9,-132.36174125616344,NM,12.890989293620441,NA,0.0218,NA,0.02715,44.535240040858014,THETE/NM,1
6052,a,NA,0.008950102669053717,0.011599636847000827,Tt,NA,9.233230331580633e-4,-0.0010729331108141893,Y,High,N,MIXED/THETE,Tt,32.1,1.4,23.5,-8.34171541435792,0,9.693360121691617,NA,0.01834,NA,0.038060000000000004,32.51773049645389,MIXED/THETE,1
6053,a,NA,0.0031887998967550235,0.003452691025413346,Tt,NA,-2.8463959154723106e-4,-6.641867659340495e-4,Y,Low,N,Tt/Sp,Tt,43.7,0.5,84.1,-4.801059069990045,OTHER,-11.202938703718232,NA,0.01596,NA,0.046400000000000004,25.593329057087878,THETE/SUIPU,1
6053,b,NA,0.011511687782703506,0.007641774106450949,Sp,NA,5.218885525661299e-4,-4.963097744511424e-4,N,Low,N,Tt/Sp,Sp,37.2,0.9,40.7,-23.194561895207517,OTHER,22.057751077505824,0.01541,0.00544,NA,0.04428,10.94127111826227,THETE/SUIPU,1
6054,a,NA,0.0038375297308359535,0.0035846360617450834,Tt,NA,-2.5527316151574553e-5,-9.85165531504073e-5,N,Low,N,Tt/None,Tt,44.9,0.7,66.8,-38.95314653342688,NM,-150.330324897835,NA,0.0097,NA,0.0235,29.21686746987952,THETE/NM,1
6054,b,NA,NA,0.004024450307327898,None,NA,NA,-4.56165360305294e-4,Y,Low,N,Tt/None,None,43.8,0.8,57.9,-8.822349651088123,0,NA,NA,0,NA,0.0273,0,THETE/NM,1
6055,a,0.001605423556345853,0.0054758095693441255,0.009290922074382202,Tt,-3.1748490580379984e-4,-7.116303660598677e-4,-0.001390443746722314,Y,High,N,Tt/Tt,Tt,47,2.3,20.4,-3.9381741133017596,SELF,-7.69473849136373,0.00445,0.01212,NA,0.0451,21.1814051031108,THETE/THETE,1
6055,b,0.0012205674827603374,0.008598286625784546,0.008664252324532384,Tt,9.634663032961899e-4,-1.7880483736792963e-4,-8.831576050337131e-4,N,High,N,Tt/Tt,Tt,39.3,3,13,-9.73584621451153,SELF,-48.08755038372766,3e-4,0.0192,NA,0.1076,15.141955835962145,THETE/THETE,1
6056,b,NA,0.004475255850144633,0.004134403257624486,Sp,NA,0.0011276884351851257,-5.10907751252343e-4,Y,Low,N,MIXED/SUIPU,Sp,46.9,0.7,66.7,-8.759420539568707,0,3.968521544170981,NA,0.01282,NA,0.02185,36.97721372944909,MIXED/SUIPU,1
6057,a,NA,0.015128464011401555,0.005761678342767418,Sp,NA,3.2846896618499155e-4,0.012248256365999355,Y,Low,N,MIXED/SUIPU,MIXED,38.3,1.2,33.1,1.2351524624678445,0,46.05751400843544,0.00511,0.01374,NA,0.02152,38.96766874645491,MIXED/THETE,1
