Page,Original_entry_order,Date,Weigher,Plant_number,Side,Labeling_batch,Tissue,Mass_g,Notes,Notes2,,,,,,,,,,,,,,,,,
online,149,180801,LB,6052,A,FC12,extra roots,0.55104,,,,,,,,,,,,,,,,,,,
online,150,180801,LB,6094,A,FC12,hyphae,not weighed,,,,,,,,,,,,,,,,,,,
online,151,180801,LB,6094,B,FC12,hyphae,not weighed,,,,,,,,,,,,,,,,,,,
online,152,180801,LB,6090,A,FC12,hyphae,not weighed,,,,,,,,,,,,,,,,,,,
online,153,180801,LB,6094,AF,FC12,crust,not weighed,,,,,,,,,,,,,,,,,,,
online,154,180801,LB,6094,B,FC12,mycos %,0.03333,,,,,,,,,,,,,,,,,,,
online,155,180802,LB,6018,A,FC12,dead roots (whole root system),0.00262,,,,,,,,,,,,,,,,,,,
online,156,180802,LB,6052,B,FC12,extra roots,0.55658,,,,,,,,,,,,,,,,,,,
online,157,180802,LB,6066,A,FC12,extra roots,0.61785,,,,,,,,,,,,,,,,,,,
online,158,180802,LB,6094,AR,FC12,crust,NA,,,,,,,,,,,,,,,,,,,
online,159,180802,LB,6094,BR,FC12,crust,NA,,,,,,,,,,,,,,,,,,,
online,160,180802,LB,6065,A,FC12,hyphae,NA,,,,,,,,,,,,,,,,,,,
online,161,180802,LB,6065,AF,FC12,crust,NA,,,,,,,,,,,,,,,,,,,
online,162,180802,LB,6065,A,FC12,mycos %,0.04468,,,,,,,,,,,,,,,,,,,
online,163,180802,LB,6065,B,FC12,mycos %,0.01168,,,,,,,,,,,,,,,,,,,
online,164,180802,LB,6094,A,FC12,mycos %,0.02518,,,,,,,,,,,,,,,,,,,
online,165,180802,LB,6066,B,FC12,hyphae,NA,,,,,,,,,,,,,,,,,,,
online,166,180802,LB,6094,BF,FC12,crust,NA,,,,,,,,,,,,,,,,,,,
online,167,180802,LB,6018,B,FC12,hyphae,NA,,,,,,,,,,,,,,,,,,,
online,168,180802,LB,6066,A,FC12,hyphae,NA,,,,,,,,,,,,,,,,,,,
online,169,180802,LB,6066,AF,FC12,crust,NA,,,,,,,,,,,,,,,,,,,
online,170,180802,LB,6066,BR,FC12,crust,NA,,,,,,,,,,,,,,,,,,,
online,171,180802,LB,6066,B,FC12,extra roots,0.57006,,,,,,,,,,,,,,,,,,,
online,172,180802,LB,6065,A,FC12,extra roots,1.02326,,,,,,,,,,,,,,,,,,,
online,173,180802,LB,6065,B,FC12,extra roots,0.47152,,,,,,,,,,,,,,,,,,,
online,174,180802,LB,6094,A,FC12,extra roots,0.9541,,,,,,,,,,,,,,,,,,,
online,175,180802,LB,6094,B,FC12,extra roots,1.09625,,,,,,,,,,,,,,,,,,,
online,176,180802,LB,6090,A,FC12,extra roots,0.79406,,,,,,,,,,,,,,,,,,,
online,177,180802,LB,6018,B,FC12,extra roots,0.63123,,,,,,,,,,,,,,,,,,,
online,178,180802,LB,6090,B,FC12,extra roots,0.73559,,,,,,,,,,,,,,,,,,,
online,179,180806,LB,6066,A,FC12,mycos %,0.03796,,,,,,,,,,,,,,,,,,,
online,180,180806,LB,6066,B,FC12,mycos %,0.00971,,,,,,,,,,,,,,,,,,,
online,181,180806,LB,6052,B,FC12,extra SUIPU mycos,0.0077,,,,,,,,,,,,,,,,,,,
