plant,side,tissue,Identifier 1,Identifier 2,Run,Row,Amount,d13C,pctC,mcgC,d15N,pctN,mcgN,CNratio
6024,b,hyphae/rhizomorphs,Bogar_6024_b_hyphae/rhizomorphs,4_H2,4,44,2152,80.68,20.8,448,49.17,2,42,10.6
6075,a,NM,Bogar_6075_a_NM,4_H3,4,45,3221,-25.15,49,1579,6.32,0.6,20,80.3
6067,b,mycorrhizas,Bogar_6067_b_mycorrhizas,4_H4,4,46,2090,-26.08,46.2,965,5.91,0.9,20,49.4
6001,b,NM,Bogar_6001_b_NM,4_H5,4,50,2938,-25.74,48.2,1416,3.76,0.8,24,58.5
6039,a,mycorrhizas,Bogar_6039_a_mycorrhizas,4_H7,4,52,2476,-27.15,37.4,926,4.61,0.7,18,51.7
6093,b,hyphae/rhizomorphs,Bogar_6093_b_hyphae/rhizomorphs,4_H8,4,53,1670,5.85,25.1,420,42.48,1.3,22,19
6028,a,mycorrhizas,Bogar_6028_a_mycorrhizas,4_H9,4,54,3412,-8.82,31.7,1081,5.68,1.7,58,18.6
6025,a,mycorrhizas,Bogar_6025_a_mycorrhizas,4_H10,4,55,2411,-13.13,33.3,804,16.34,1.4,33,24.1
6065,b,NM,Bogar_6065_b_NM,4_H12,4,59,3517,-5.45,47.3,1663,3.09,1.8,62,26.9
6073,A,MYCOS,Bogar_6073_A_MYCOS,5_A7,4,67,2179,-29.82,37,807,14.65,3.2,69,11.7
6073,B,TFR %,Bogar_6073_B_TFR %,5_A11,4,71,2120,-30.59,45.6,966,2.21,1.3,27,36.1
6073,B,HYPHAE,Bogar_6073_B_HYPHAE,5_B6,4,79,2910,-29.81,4.7,137,11.05,0.3,9,14.5
6091,B,NM %,Bogar_6091_B_NM %,5_C5,4,94,2533,-29.95,37,937,1.7,1.4,35,27.1
6091,A,MYCOS %,Bogar_6091_A_MYCOS %,5_C9,4,98,3427,-29.85,30.4,1042,8.95,1.7,60,17.5
6033,B,HYPHAE,Bogar_6033_B_HYPHAE,5_C11,4,100,1518,-13.33,23.1,350,19,1.1,16,21.7
6027,A,NM %,Bogar_6027_A_NM %,5_D1,4,104,2588,-19,47.2,1221,7.47,1.8,48,25.6
6043,B,NM %,Bogar_6043_B_NM %,5_F11,4,144,3224,-18.64,45.6,1469,3.88,1,32,46.3
6038,a,NM,Bogar_6038_a_NM,1_B10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
6034,b,NM,Bogar_6034_b_NM,1_B11,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
6084,a,mycorrhizas,Bogar_6084_a_mycorrhizas,1_B12,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
6070,a,hyphae/rhizomorphs,Bogar_6070_a_hyphae/rhizomorphs,1_C4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
6098,a,mycorrhizas,Bogar_6098_a_mycorrhizas,1_C9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
6094,a,hyphae/rhizomorphs,Bogar_6094_a_hyphae/rhizomorphs,1_E4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
6080,a,hyphae/rhizomorphs,Bogar_6080_a_hyphae/rhizomorphs,1_E7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
6013,b,NM,Bogar_6013_b_NM,1_E10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
6097,b,hyphae/rhizomorphs,Bogar_6097_b_hyphae/rhizomorphs,1_F2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
6072,b,NM,Bogar_6072_b_NM,1_F9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
6072,b,mycorrhizas,Bogar_6072_b_mycorrhizas,1_F10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
6093,a,hyphae/rhizomorphs,Bogar_6093_a_hyphae/rhizomorphs,1_G9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
6033,a,NM,Bogar_6033_a_NM,2_B2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
6092,a,mycorrhizas,Bogar_6092_a_mycorrhizas,2_B3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
6087,b,mycorrhizas,6087_b_mycorrhizas,,5,15,3106,-28.21,38.5,1196,5.27,2.0,63,18.8
6088,b,mycorrhizas,6088_b_mycorrhizas,,5,16,2797,-25.20,46.8,1308,3.97,0.9,25,52.5
6084,a,mycorrhizas,6084_a_mycorrhizas,,5,17,3058,-18.51,41.0,1253,11.81,1.2,37,33.7
6049,b,NM,6049_b_NM,,5,18,3971,-17.65,45.8,1819,2.28,1.6,65,27.9
6036,a,mycorrhizas,6036_a_mycorrhizas,,5,19,3166,-18.23,38.4,1216,5.51,1.0,32,37.7
6063,a,mycorrhizas,6063_a_mycorrhizas,,5,20,3864,36.22,34.7,1341,7.70,1.7,68,19.9
6025,b,mycorrhizas,6025_b_mycorrhizas,,5,21,3954,-1.18,31.4,1241,7.07,1.6,64,19.4
6096,b,mycorrhizas,6096_b_mycorrhizas,,5,23,3529,-24.59,49.2,1736,5.82,1.0,34,51.0
6038,a,NM,6038_a_NM,,5,24,3042,-23.11,47.0,1430,2.92,2.0,60,23.8
6012,b,mycorrhizas,6012_b_mycorrhizas,,5,25,3872,-15.69,16.8,651,7.15,1.0,38,17.4
6033,a,NM,6033_a_NM,,5,26,3403,-25.40,46.0,1565,3.76,0.8,26,59.8
6036,b,mycorrhizas,6036_b_mycorrhizas,,5,27,1094,-26.12,45.3,496,6.04,1.3,14,35.5
6049,a,NM,6049_a_NM,,5,29,2949,-10.23,44.5,1313,5.98,1.7,51,25.9
6063,a,NM,6063_a_NM,,5,30,3454,-23.76,43.3,1496,2.95,1.1,38,39.8
6019,a,mycorrhizas,6019_a_mycorrhizas,,5,31,3048,-1.52,23.0,15,45.01,1.3,41,17.1
6011,b,mycorrhizas,6011_b_mycorrhizas,,5,32,3593,-11.53,25.6,918,6.70,0.7,26,35.9
6013,b,NM,6013_b_NM,,5,33,3857,-26.11,49.4,1906,4.66,0.6,22,85.5
6019,b,mycorrhizas,6019_b_mycorrhizas,,5,34,3250,-8.46,32.8,1065,6.15,1.1,36,29.5
6092,a,mycorrhizas,6092_a_mycorrhizas,,5,35,2219,-17.54,38.9,863,7.17,1.0,22,40.0
